schema_context,column,check,check_number,failure_case,index
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-06,1859
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-06,1858
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-06,1857
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-29,1713
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-29,1711
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-20,1485
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-22,1541
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-23,1567
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-23,1566
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-23,1565
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-23,1564
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-23,1563
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-23,1562
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-23,1561
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-23,1560
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-23,1559
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-23,1558
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-23,1557
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-23,1556
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-23,1555
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-23,1554
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-22,1553
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-22,1552
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-22,1551
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-22,1550
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-22,1549
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-22,1548
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-22,1547
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-22,1546
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-22,1545
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-22,1544
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-22,1543
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-23,1568
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-23,1569
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-23,1570
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-24,1584
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-24,1595
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-24,1594
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-24,1593
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-24,1592
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-24,1591
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-24,1590
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-24,1589
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-24,1588
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-24,1587
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-24,1586
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-24,1585
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-24,1583
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-23,1571
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-24,1582
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-24,1581
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-24,1580
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-24,1579
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-24,1578
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-23,1577
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-23,1576
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-23,1575
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-23,1574
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-23,1573
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-23,1572
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-22,1542
